File System,Block Size,Inode Size,Block Group,Atime Option,Journal Option,Special Option,I/O Scheduler,Device,Throughput
ext2,1024,none,none,none,none,none,noop,sas,18200.33
ext2,1024,none,none,none,none,none,noop,500sas,10344.75
ext2,1024,none,none,none,none,none,noop,ssd,18499.75
ext2,1024,none,none,none,none,none,noop,sata,12500.25
ext2,1024,none,none,none,none,none,cfq,sas,17946.5
ext2,1024,none,none,none,none,none,cfq,500sas,10153.75
ext2,1024,none,none,none,none,none,cfq,ssd,18219.0
ext2,1024,none,none,none,none,none,cfq,sata,12592.25
ext2,1024,none,none,none,none,none,deadline,sas,18196.75
ext2,1024,none,none,none,none,none,deadline,500sas,10326.5
ext2,1024,none,none,none,none,none,deadline,ssd,18529.75
ext2,1024,none,none,none,none,none,deadline,sata,12599.75
ext2,1024,none,none,noatime,none,none,noop,sas,18195.0
ext2,1024,none,none,noatime,none,none,noop,500sas,10428.5
ext2,1024,none,none,noatime,none,none,noop,ssd,18558.0
ext2,1024,none,none,noatime,none,none,noop,sata,12673.0
ext2,1024,none,none,noatime,none,none,cfq,sas,17941.5
ext2,1024,none,none,noatime,none,none,cfq,500sas,10221.5
ext2,1024,none,none,noatime,none,none,cfq,ssd,18219.75
ext2,1024,none,none,noatime,none,none,cfq,sata,12451.0
ext2,1024,none,none,noatime,none,none,deadline,sas,18172.5
ext2,1024,none,none,noatime,none,none,deadline,500sas,10513.5
ext2,1024,none,none,noatime,none,none,deadline,ssd,18488.75
ext2,1024,none,none,noatime,none,none,deadline,sata,12647.75
ext2,1024,none,2,none,none,none,noop,sas,16390.75
ext2,1024,none,2,none,none,none,noop,500sas,7952.75
ext2,1024,none,2,none,none,none,noop,ssd,18042.0
ext2,1024,none,2,none,none,none,noop,sata,9468.25
ext2,1024,none,2,none,none,none,cfq,sas,16266.25
ext2,1024,none,2,none,none,none,cfq,500sas,7907.75
ext2,1024,none,2,none,none,none,cfq,ssd,17753.5
ext2,1024,none,2,none,none,none,cfq,sata,9475.5
ext2,1024,none,2,none,none,none,deadline,sas,16435.5
ext2,1024,none,2,none,none,none,deadline,500sas,7911.5
ext2,1024,none,2,none,none,none,deadline,ssd,18061.25
ext2,1024,none,2,none,none,none,deadline,sata,9299.75
ext2,1024,none,2,noatime,none,none,noop,sas,16329.75
ext2,1024,none,2,noatime,none,none,noop,500sas,7982.75
ext2,1024,none,2,noatime,none,none,noop,ssd,17920.5
ext2,1024,none,2,noatime,none,none,noop,sata,9135.25
ext2,1024,none,2,noatime,none,none,cfq,sas,16046.25
ext2,1024,none,2,noatime,none,none,cfq,500sas,7894.5
ext2,1024,none,2,noatime,none,none,cfq,ssd,17650.5
ext2,1024,none,2,noatime,none,none,cfq,sata,9151.25
ext2,1024,none,2,noatime,none,none,deadline,sas,16412.0
ext2,1024,none,2,noatime,none,none,deadline,500sas,7951.0
ext2,1024,none,2,noatime,none,none,deadline,ssd,18042.5
ext2,1024,none,2,noatime,none,none,deadline,sata,9320.5
ext2,1024,none,4,none,none,none,noop,sas,17533.25
ext2,1024,none,4,none,none,none,noop,500sas,9130.5
ext2,1024,none,4,none,none,none,noop,ssd,18311.5
ext2,1024,none,4,none,none,none,noop,sata,10942.0
ext2,1024,none,4,none,none,none,cfq,sas,17202.75
ext2,1024,none,4,none,none,none,cfq,500sas,8887.75
ext2,1024,none,4,none,none,none,cfq,ssd,17887.75
ext2,1024,none,4,none,none,none,cfq,sata,10778.5
ext2,1024,none,4,none,none,none,deadline,sas,17558.0
ext2,1024,none,4,none,none,none,deadline,500sas,9156.75
ext2,1024,none,4,none,none,none,deadline,ssd,18286.75
ext2,1024,none,4,none,none,none,deadline,sata,10967.75
ext2,1024,none,4,noatime,none,none,noop,sas,17515.25
ext2,1024,none,4,noatime,none,none,noop,500sas,9119.5
ext2,1024,none,4,noatime,none,none,noop,ssd,18180.75
ext2,1024,none,4,noatime,none,none,noop,sata,10932.0
ext2,1024,none,4,noatime,none,none,cfq,sas,17230.75
ext2,1024,none,4,noatime,none,none,cfq,500sas,9097.0
ext2,1024,none,4,noatime,none,none,cfq,ssd,17850.75
ext2,1024,none,4,noatime,none,none,cfq,sata,10547.0
ext2,1024,none,4,noatime,none,none,deadline,sas,17530.0
ext2,1024,none,4,noatime,none,none,deadline,500sas,9063.75
ext2,1024,none,4,noatime,none,none,deadline,ssd,18236.5
ext2,1024,none,4,noatime,none,none,deadline,sata,10872.5
ext2,1024,none,8,none,none,none,noop,sas,18188.0
ext2,1024,none,8,none,none,none,noop,500sas,10188.75
ext2,1024,none,8,none,none,none,noop,ssd,18539.0
ext2,1024,none,8,none,none,none,noop,sata,12613.75
ext2,1024,none,8,none,none,none,cfq,sas,17905.0
ext2,1024,none,8,none,none,none,cfq,500sas,10398.0
ext2,1024,none,8,none,none,none,cfq,ssd,18262.5
ext2,1024,none,8,none,none,none,cfq,sata,12370.25
ext2,1024,none,8,none,none,none,deadline,sas,18195.0
ext2,1024,none,8,none,none,none,deadline,500sas,10416.0
ext2,1024,none,8,none,none,none,deadline,ssd,18515.75
ext2,1024,none,8,none,none,none,deadline,sata,12237.0
ext2,1024,none,8,noatime,none,none,noop,sas,18154.5
ext2,1024,none,8,noatime,none,none,noop,500sas,10404.25
ext2,1024,none,8,noatime,none,none,noop,ssd,18532.75
ext2,1024,none,8,noatime,none,none,noop,sata,12696.75
ext2,1024,none,8,noatime,none,none,cfq,sas,17899.25
ext2,1024,none,8,noatime,none,none,cfq,500sas,10204.0
ext2,1024,none,8,noatime,none,none,cfq,ssd,18243.0
ext2,1024,none,8,noatime,none,none,cfq,sata,12559.0
ext2,1024,none,8,noatime,none,none,deadline,sas,18207.5
ext2,1024,none,8,noatime,none,none,deadline,500sas,10407.5
ext2,1024,none,8,noatime,none,none,deadline,ssd,18549.0
ext2,1024,none,8,noatime,none,none,deadline,sata,12574.25
ext2,1024,128,none,none,none,none,noop,sas,18223.0
ext2,1024,128,none,none,none,none,noop,500sas,10276.25
ext2,1024,128,none,none,none,none,noop,ssd,18561.0
ext2,1024,128,none,none,none,none,noop,sata,12654.25
ext2,1024,128,none,none,none,none,cfq,sas,17978.33
ext2,1024,128,none,none,none,none,cfq,500sas,10241.33
ext2,1024,128,none,none,none,none,cfq,ssd,18266.0
ext2,1024,128,none,none,none,none,cfq,sata,12272.0
ext2,1024,128,none,none,none,none,deadline,sas,18189.67
ext2,1024,128,none,none,none,none,deadline,500sas,10268.0
ext2,1024,128,none,none,none,none,deadline,ssd,18509.0
ext2,1024,128,none,none,none,none,deadline,sata,12830.0
ext2,1024,128,none,noatime,none,none,noop,sas,18229.0
ext2,1024,128,none,noatime,none,none,noop,500sas,10340.67
ext2,1024,128,none,noatime,none,none,noop,ssd,18512.67
ext2,1024,128,none,noatime,none,none,noop,sata,12473.33
ext2,1024,128,none,noatime,none,none,cfq,sas,17916.33
ext2,1024,128,none,noatime,none,none,cfq,500sas,10351.33
ext2,1024,128,none,noatime,none,none,cfq,ssd,18220.0
ext2,1024,128,none,noatime,none,none,cfq,sata,12368.67
ext2,1024,128,none,noatime,none,none,deadline,sas,18208.33
ext2,1024,128,none,noatime,none,none,deadline,500sas,10254.33
ext2,1024,128,none,noatime,none,none,deadline,ssd,18516.0
ext2,1024,128,none,noatime,none,none,deadline,sata,12740.0
ext2,1024,128,2,none,none,none,noop,sas,16418.0
ext2,1024,128,2,none,none,none,noop,500sas,8120.0
ext2,1024,128,2,none,none,none,noop,ssd,18187.67
ext2,1024,128,2,none,none,none,noop,sata,9328.67
ext2,1024,128,2,none,none,none,cfq,sas,16339.33
ext2,1024,128,2,none,none,none,cfq,500sas,8101.33
ext2,1024,128,2,none,none,none,cfq,ssd,17824.0
ext2,1024,128,2,none,none,none,cfq,sata,9335.67
ext2,1024,128,2,none,none,none,deadline,sas,16573.33
ext2,1024,128,2,none,none,none,deadline,500sas,8091.67
ext2,1024,128,2,none,none,none,deadline,ssd,18200.67
ext2,1024,128,2,none,none,none,deadline,sata,9076.33
ext2,1024,128,2,noatime,none,none,noop,sas,16562.0
ext2,1024,128,2,noatime,none,none,noop,500sas,8082.33
ext2,1024,128,2,noatime,none,none,noop,ssd,18138.33
ext2,1024,128,2,noatime,none,none,noop,sata,9477.67
ext2,1024,128,2,noatime,none,none,cfq,sas,16298.33
ext2,1024,128,2,noatime,none,none,cfq,500sas,7933.0
ext2,1024,128,2,noatime,none,none,cfq,ssd,17792.67
ext2,1024,128,2,noatime,none,none,cfq,sata,9016.33
ext2,1024,128,2,noatime,none,none,deadline,sas,16532.0
ext2,1024,128,2,noatime,none,none,deadline,500sas,8064.33
ext2,1024,128,2,noatime,none,none,deadline,ssd,18182.0
ext2,1024,128,2,noatime,none,none,deadline,sata,9017.0
ext2,1024,128,4,none,none,none,noop,sas,17415.0
ext2,1024,128,4,none,none,none,noop,500sas,9192.67
ext2,1024,128,4,none,none,none,noop,ssd,18296.33
ext2,1024,128,4,none,none,none,noop,sata,11223.0
ext2,1024,128,4,none,none,none,cfq,sas,17182.33
ext2,1024,128,4,none,none,none,cfq,500sas,9095.33
ext2,1024,128,4,none,none,none,cfq,ssd,17936.0
ext2,1024,128,4,none,none,none,cfq,sata,11014.0
ext2,1024,128,4,none,none,none,deadline,sas,17535.33
ext2,1024,128,4,none,none,none,deadline,500sas,9045.0
ext2,1024,128,4,none,none,none,deadline,ssd,18294.0
ext2,1024,128,4,none,none,none,deadline,sata,10859.67
ext2,1024,128,4,noatime,none,none,noop,sas,17485.33
ext2,1024,128,4,noatime,none,none,noop,500sas,9156.33
ext2,1024,128,4,noatime,none,none,noop,ssd,18317.67
ext2,1024,128,4,noatime,none,none,noop,sata,11034.0
ext2,1024,128,4,noatime,none,none,cfq,sas,17246.33
ext2,1024,128,4,noatime,none,none,cfq,500sas,9095.33
ext2,1024,128,4,noatime,none,none,cfq,ssd,18044.67
ext2,1024,128,4,noatime,none,none,cfq,sata,11033.33
ext2,1024,128,4,noatime,none,none,deadline,sas,17496.67
ext2,1024,128,4,noatime,none,none,deadline,500sas,9126.67
ext2,1024,128,4,noatime,none,none,deadline,ssd,18275.0
ext2,1024,128,4,noatime,none,none,deadline,sata,11131.0
ext2,1024,128,8,none,none,none,noop,sas,18224.67
ext2,1024,128,8,none,none,none,noop,500sas,10390.0
ext2,1024,128,8,none,none,none,noop,ssd,18526.67
ext2,1024,128,8,none,none,none,noop,sata,12676.33
ext2,1024,128,8,none,none,none,cfq,sas,17897.0
ext2,1024,128,8,none,none,none,cfq,500sas,10264.67
ext2,1024,128,8,none,none,none,cfq,ssd,18230.67
ext2,1024,128,8,none,none,none,cfq,sata,12457.33
ext2,1024,128,8,none,none,none,deadline,sas,18166.67
ext2,1024,128,8,none,none,none,deadline,500sas,10317.67
ext2,1024,128,8,none,none,none,deadline,ssd,18490.33
ext2,1024,128,8,none,none,none,deadline,sata,12822.0
ext2,1024,128,8,noatime,none,none,noop,sas,18231.0
ext2,1024,128,8,noatime,none,none,noop,500sas,10197.67
ext2,1024,128,8,noatime,none,none,noop,ssd,18561.33
ext2,1024,128,8,noatime,none,none,noop,sata,12644.67
ext2,1024,128,8,noatime,none,none,cfq,sas,17955.33
ext2,1024,128,8,noatime,none,none,cfq,500sas,10404.0
ext2,1024,128,8,noatime,none,none,cfq,ssd,18253.0
ext2,1024,128,8,noatime,none,none,cfq,sata,12593.33
ext2,1024,128,8,noatime,none,none,deadline,sas,18201.67
ext2,1024,128,8,noatime,none,none,deadline,500sas,10374.67
ext2,1024,128,8,noatime,none,none,deadline,ssd,18504.67
ext2,1024,128,8,noatime,none,none,deadline,sata,12520.67
ext2,1024,256,none,none,none,none,noop,sas,18184.67
ext2,1024,256,none,none,none,none,noop,500sas,10275.33
ext2,1024,256,none,none,none,none,noop,ssd,18500.0
ext2,1024,256,none,none,none,none,noop,sata,12702.0
ext2,1024,256,none,none,none,none,cfq,sas,17902.33
ext2,1024,256,none,none,none,none,cfq,500sas,10127.0
ext2,1024,256,none,none,none,none,cfq,ssd,18168.0
ext2,1024,256,none,none,none,none,cfq,sata,12492.0
ext2,1024,256,none,none,none,none,deadline,sas,18168.33
ext2,1024,256,none,none,none,none,deadline,500sas,10300.0
ext2,1024,256,none,none,none,none,deadline,ssd,18508.0
ext2,1024,256,none,none,none,none,deadline,sata,12546.33
ext2,1024,256,none,noatime,none,none,noop,sas,18115.67
ext2,1024,256,none,noatime,none,none,noop,500sas,10236.33
ext2,1024,256,none,noatime,none,none,noop,ssd,18537.0
ext2,1024,256,none,noatime,none,none,noop,sata,12563.33
ext2,1024,256,none,noatime,none,none,cfq,sas,17926.33
ext2,1024,256,none,noatime,none,none,cfq,500sas,10158.0
ext2,1024,256,none,noatime,none,none,cfq,ssd,18243.0
ext2,1024,256,none,noatime,none,none,cfq,sata,12162.0
ext2,1024,256,none,noatime,none,none,deadline,sas,18174.33
ext2,1024,256,none,noatime,none,none,deadline,500sas,10097.0
ext2,1024,256,none,noatime,none,none,deadline,ssd,18477.67
ext2,1024,256,none,noatime,none,none,deadline,sata,12418.0
ext2,1024,256,2,none,none,none,noop,sas,16157.67
ext2,1024,256,2,none,none,none,noop,500sas,7988.33
ext2,1024,256,2,none,none,none,noop,ssd,17894.33
ext2,1024,256,2,none,none,none,noop,sata,9338.67
ext2,1024,256,2,none,none,none,cfq,sas,16177.0
ext2,1024,256,2,none,none,none,cfq,500sas,7877.33
ext2,1024,256,2,none,none,none,cfq,ssd,17636.67
ext2,1024,256,2,none,none,none,cfq,sata,9509.0
ext2,1024,256,2,none,none,none,deadline,sas,16429.67
ext2,1024,256,2,none,none,none,deadline,500sas,7922.67
ext2,1024,256,2,none,none,none,deadline,ssd,17831.33
ext2,1024,256,2,none,none,none,deadline,sata,9318.0
ext2,1024,256,2,noatime,none,none,noop,sas,16344.33
ext2,1024,256,2,noatime,none,none,noop,500sas,7968.33
ext2,1024,256,2,noatime,none,none,noop,ssd,18057.0
ext2,1024,256,2,noatime,none,none,noop,sata,9149.67
ext2,1024,256,2,noatime,none,none,cfq,sas,16307.67
ext2,1024,256,2,noatime,none,none,cfq,500sas,7824.67
ext2,1024,256,2,noatime,none,none,cfq,ssd,17612.33
ext2,1024,256,2,noatime,none,none,cfq,sata,9365.33
ext2,1024,256,2,noatime,none,none,deadline,sas,16326.67
ext2,1024,256,2,noatime,none,none,deadline,500sas,7903.67
ext2,1024,256,2,noatime,none,none,deadline,ssd,17847.0
ext2,1024,256,2,noatime,none,none,deadline,sata,9153.33
ext2,1024,256,4,none,none,none,noop,sas,17428.0
ext2,1024,256,4,none,none,none,noop,500sas,8980.33
ext2,1024,256,4,none,none,none,noop,ssd,18219.67
ext2,1024,256,4,none,none,none,noop,sata,10723.33
ext2,1024,256,4,none,none,none,cfq,sas,17274.33
ext2,1024,256,4,none,none,none,cfq,500sas,8939.33
ext2,1024,256,4,none,none,none,cfq,ssd,17847.0
ext2,1024,256,4,none,none,none,cfq,sata,10586.67
ext2,1024,256,4,none,none,none,deadline,sas,17397.67
ext2,1024,256,4,none,none,none,deadline,500sas,9135.33
ext2,1024,256,4,none,none,none,deadline,ssd,18217.33
ext2,1024,256,4,none,none,none,deadline,sata,10895.67
ext2,1024,256,4,noatime,none,none,noop,sas,17526.0
ext2,1024,256,4,noatime,none,none,noop,500sas,9105.0
ext2,1024,256,4,noatime,none,none,noop,ssd,18191.33
ext2,1024,256,4,noatime,none,none,noop,sata,10817.67
ext2,1024,256,4,noatime,none,none,cfq,sas,17127.67
ext2,1024,256,4,noatime,none,none,cfq,500sas,9033.67
ext2,1024,256,4,noatime,none,none,cfq,ssd,17935.33
ext2,1024,256,4,noatime,none,none,cfq,sata,10771.67
ext2,1024,256,4,noatime,none,none,deadline,sas,17568.33
ext2,1024,256,4,noatime,none,none,deadline,500sas,9156.0
ext2,1024,256,4,noatime,none,none,deadline,ssd,18152.33
ext2,1024,256,4,noatime,none,none,deadline,sata,10845.33
ext2,1024,256,8,none,none,none,noop,sas,18110.0
ext2,1024,256,8,none,none,none,noop,500sas,10453.67
ext2,1024,256,8,none,none,none,noop,ssd,18455.33
ext2,1024,256,8,none,none,none,noop,sata,12555.33
ext2,1024,256,8,none,none,none,cfq,sas,17869.67
ext2,1024,256,8,none,none,none,cfq,500sas,10082.33
ext2,1024,256,8,none,none,none,cfq,ssd,18223.0
ext2,1024,256,8,none,none,none,cfq,sata,12547.67
ext2,1024,256,8,none,none,none,deadline,sas,18139.33
ext2,1024,256,8,none,none,none,deadline,500sas,10194.67
ext2,1024,256,8,none,none,none,deadline,ssd,18480.0
ext2,1024,256,8,none,none,none,deadline,sata,12448.67
ext2,1024,256,8,noatime,none,none,noop,sas,18158.67
ext2,1024,256,8,noatime,none,none,noop,500sas,10232.0
ext2,1024,256,8,noatime,none,none,noop,ssd,18440.67
ext2,1024,256,8,noatime,none,none,noop,sata,12626.33
ext2,1024,256,8,noatime,none,none,cfq,sas,17925.0
ext2,1024,256,8,noatime,none,none,cfq,500sas,10343.67
ext2,1024,256,8,noatime,none,none,cfq,ssd,18154.0
ext2,1024,256,8,noatime,none,none,cfq,sata,12820.67
ext2,1024,256,8,noatime,none,none,deadline,sas,18150.67
ext2,1024,256,8,noatime,none,none,deadline,500sas,10422.0
ext2,1024,256,8,noatime,none,none,deadline,ssd,18505.67
ext2,1024,256,8,noatime,none,none,deadline,sata,12666.67
ext2,1024,512,none,none,none,none,noop,sas,18164.0
ext2,1024,512,none,none,none,none,noop,500sas,10318.67
ext2,1024,512,none,none,none,none,noop,ssd,18531.67
ext2,1024,512,none,none,none,none,noop,sata,12623.67
ext2,1024,512,none,none,none,none,cfq,sas,17926.0
ext2,1024,512,none,none,none,none,cfq,500sas,10089.0
ext2,1024,512,none,none,none,none,cfq,ssd,18164.0
ext2,1024,512,none,none,none,none,cfq,sata,12632.33
ext2,1024,512,none,none,none,none,deadline,sas,18201.0
ext2,1024,512,none,none,none,none,deadline,500sas,10298.67
ext2,1024,512,none,none,none,none,deadline,ssd,18413.67
ext2,1024,512,none,none,none,none,deadline,sata,12532.0
ext2,1024,512,none,noatime,none,none,noop,sas,18195.67
ext2,1024,512,none,noatime,none,none,noop,500sas,10401.67
ext2,1024,512,none,noatime,none,none,noop,ssd,18446.33
ext2,1024,512,none,noatime,none,none,noop,sata,12538.33
ext2,1024,512,none,noatime,none,none,cfq,sas,17869.0
ext2,1024,512,none,noatime,none,none,cfq,500sas,10111.0
ext2,1024,512,none,noatime,none,none,cfq,ssd,18185.0
ext2,1024,512,none,noatime,none,none,cfq,sata,12627.0
ext2,1024,512,none,noatime,none,none,deadline,sas,18160.33
ext2,1024,512,none,noatime,none,none,deadline,500sas,10279.0
ext2,1024,512,none,noatime,none,none,deadline,ssd,18487.0
ext2,1024,512,none,noatime,none,none,deadline,sata,12384.0
ext2,1024,512,2,none,none,none,noop,sas,16304.33
ext2,1024,512,2,none,none,none,noop,500sas,7833.33
ext2,1024,512,2,none,none,none,noop,ssd,17673.33
ext2,1024,512,2,none,none,none,noop,sata,9015.17
ext2,1024,512,2,none,none,none,cfq,sas,15953.0
ext2,1024,512,2,none,none,none,cfq,500sas,7861.67
ext2,1024,512,2,none,none,none,cfq,ssd,17588.33
ext2,1024,512,2,none,none,none,cfq,sata,8818.33
ext2,1024,512,2,none,none,none,deadline,sas,16044.33
ext2,1024,512,2,none,none,none,deadline,500sas,7874.0
ext2,1024,512,2,none,none,none,deadline,ssd,17839.67
ext2,1024,512,2,none,none,none,deadline,sata,9226.5
ext2,1024,512,2,noatime,none,none,noop,sas,16178.33
ext2,1024,512,2,noatime,none,none,noop,500sas,7825.67
ext2,1024,512,2,noatime,none,none,noop,ssd,17796.67
ext2,1024,512,2,noatime,none,none,noop,sata,9117.5
ext2,1024,512,2,noatime,none,none,cfq,sas,15785.67
ext2,1024,512,2,noatime,none,none,cfq,500sas,7829.0
ext2,1024,512,2,noatime,none,none,cfq,ssd,17545.67
ext2,1024,512,2,noatime,none,none,cfq,sata,8753.0
ext2,1024,512,2,noatime,none,none,deadline,sas,16019.33
ext2,1024,512,2,noatime,none,none,deadline,500sas,8030.33
ext2,1024,512,2,noatime,none,none,deadline,ssd,17972.33
ext2,1024,512,2,noatime,none,none,deadline,sata,9098.67
ext2,1024,512,4,none,none,none,noop,sas,17297.0
ext2,1024,512,4,none,none,none,noop,500sas,8946.33
ext2,1024,512,4,none,none,none,noop,ssd,18144.67
ext2,1024,512,4,none,none,none,noop,sata,10776.0
ext2,1024,512,4,none,none,none,cfq,sas,17125.33
ext2,1024,512,4,none,none,none,cfq,500sas,8956.0
ext2,1024,512,4,none,none,none,cfq,ssd,17707.33
ext2,1024,512,4,none,none,none,cfq,sata,10912.67
ext2,1024,512,4,none,none,none,deadline,sas,17378.33
ext2,1024,512,4,none,none,none,deadline,500sas,8919.33
